table_name,table_schema,,,,,,
activities,public,,,,,,
assistants,public,,,,,,
calls,public,,,,,,
contact_tags,public,,,,,,
contacts,public,,,,,,
conversations,public,,,,,,
deal_stage_history,public,,,,,,
deal_tags,public,,,,,,
deals,public,,,,,,
documents,public,,,,,,
emails,public,,,,,,
import_history,public,,,,,,
messages,public,,,,,,
phone_numbers,public,,,,,,
tags,public,,,,,,
vapi_calls,public,,,,,,
,,,,,,,
column_name,data_type,is_nullable,column_default,character_maximum_length,numeric_precision,numeric_scale,ordinal_position
id,uuid,NO,NULL,NULL,NULL,NULL,1
first_name,text,YES,NULL,NULL,NULL,NULL,2
last_name,text,YES,NULL,NULL,NULL,NULL,3
llc_name,text,YES,NULL,NULL,NULL,NULL,4
phone1,text,YES,NULL,NULL,NULL,NULL,5
phone2,text,YES,NULL,NULL,NULL,NULL,6
phone3,text,YES,NULL,NULL,NULL,NULL,7
email1,text,YES,NULL,NULL,NULL,NULL,8
email2,text,YES,NULL,NULL,NULL,NULL,9
email3,text,YES,NULL,NULL,NULL,NULL,10
property_address,text,YES,NULL,NULL,NULL,NULL,11
city,text,YES,NULL,NULL,NULL,NULL,12
state,text,YES,NULL,NULL,NULL,NULL,13
property_county,text,YES,NULL,NULL,NULL,NULL,14
property_type,text,YES,NULL,NULL,NULL,NULL,15
bedrooms,integer,YES,NULL,NULL,32,0,16
total_bathrooms,numeric,YES,NULL,NULL,4,2,17
building_sqft,integer,YES,NULL,NULL,32,0,18
effective_year_built,integer,YES,NULL,NULL,32,0,19
est_value,numeric,YES,NULL,NULL,15,2,20
est_equity,numeric,YES,NULL,NULL,15,2,21
dnc,boolean,YES,FALSE,NULL,NULL,NULL,22
dnc_reason,text,YES,NULL,NULL,NULL,NULL,23
deal_status,USER-DEFINED,YES,"'lead'::""DealStatus""",NULL,NULL,NULL,24
notes,text,YES,NULL,NULL,NULL,NULL,25
avatar_url,text,YES,NULL,NULL,NULL,NULL,26
created_at,timestamp with time zone,NO,CURRENT_TIMESTAMP,NULL,NULL,NULL,27
updated_at,timestamp with time zone,YES,NULL,NULL,NULL,NULL,28
,,,,,,,
constraint_name,constraint_type,column_name,foreign_table_name,foreign_column_name,,,
contacts_pkey,PRIMARY KEY,id,contacts,id,,,
42100_42363_1_not_null,CHECK,NULL,NULL,NULL,,,
42100_42363_27_not_null,CHECK,NULL,NULL,NULL,,,
,,,,,,,
column_name,data_type,is_nullable,column_default,ordinal_position,,,
id,uuid,NO,NULL,1,,,
name,text,NO,NULL,2,,,
color,text,NO,'#3B82F6'::text,3,,,
description,text,YES,NULL,4,,,
is_system,boolean,YES,FALSE,5,,,
created_at,timestamp with time zone,NO,CURRENT_TIMESTAMP,6,,,
updated_at,timestamp with time zone,NO,NULL,7,,,
,,,,,,,
column_name,data_type,is_nullable,ordinal_position,,,,
id,uuid,NO,1,,,,
contact_id,uuid,NO,2,,,,
tag_id,uuid,NO,3,,,,
created_at,timestamp with time zone,NO,4,,,,
created_by,uuid,YES,5,,,,
